,H(Y|T),H(T|Y),I(Y;T),H(Y),log(I(Y;T)/log(H(Y|T)))
class,0.0,0.0,3.308506042783319,3.308506042783319,-inf
label_gran_3,2.6651963052223473,3.0075330052666818,0.3009730375166382,2.9661693427389855,-1.1808152302016772
label_gran_5,4.054445992705855,2.698386466895231,0.6101195758880866,4.664565568593941,-0.8304397249078788
label_gran_7,4.818177372030542,2.0191120279235513,1.2893940148597682,6.10757138689031,-0.1984280392343244
label_gran_10,6.209697981280465,1.7048814666924823,1.603624576090839,7.813322557371304,-0.1299228319602492
label_gran_20,8.632471904560491,0.983243084652436,2.3252629581308835,10.957734862691375,0.07579608440331102
label_gran_30,9.46644356575523,0.5337530404757675,2.774753002307552,12.241196568062781,0.2106305558372801
label_gran_50,10.031215742255377,0.2962702083152333,3.012235834468088,13.043451576723465,0.26729750424966314
label_gran_70,10.148153172419006,0.24746316977383742,3.061042873009482,13.209196045428488,0.27835651768550185
label_gran_90,10.17937984765817,0.23241114442709154,3.0760948983562297,13.2554747460144,0.2819367934333893
label_gran_110,10.190206229550952,0.22939546379183184,3.079110578991486,13.269316808542438,0.28245866261932817
label_gran_130,10.191356866632905,0.2290611706757968,3.0794448721075227,13.270801738740428,0.28251858797325047
label_gran_150,10.191356866632905,0.2290611706757968,3.0794448721075227,13.270801738740428,0.28251858797325047
instance_id,11.787261826290974,0.0,3.3085060427833195,15.095767869074294,0.29348602251105355
