,H(Y|T),H(T|Y),I(Y;T),H(Y),log(I(Y;T)/log(H(Y|T)))
class,0.0,0.0,7.643832571117217,7.643832571117217,-inf
label_gran_3,2.131671028021559,6.838115189073366,0.805717382043853,2.937388410065412,0.062493712918100276
label_gran_5,3.0936560915439415,5.954194098440604,1.689638472676613,4.783294564220554,0.4028691574356662
label_gran_7,3.7741689860425502,5.008764026832642,2.635068544284577,6.409237530327127,0.685099443241524
label_gran_10,4.313955621983434,3.2862896255133194,4.357542945603898,8.671498567587332,1.0922019982237559
label_gran_15,4.597634370507857,1.8422207860725663,5.801611785044651,10.399246155552508,1.3357860791400138
label_gran_20,4.7610314430596805,0.7924461974806061,6.851386373636609,11.61241781669629,1.479467594822741
label_gran_25,4.843668540470896,0.2673861942708733,7.3764463768463475,12.220114917317243,1.5423414077847577
label_gran_30,4.872986624143046,0.12573624249978366,7.518096328617432,12.391082952760478,1.5575446446137053
label_gran_50,4.89370414324004,0.031128534778325445,7.61270403633889,12.50640817957893,1.5673748677206196
label_gran_70,4.898545576341249,0.0156512408288485,7.628181330288369,12.526726906629618,1.5687833766639345
label_gran_100,4.900339851867136,0.010350200203088633,7.633482370914129,12.533822222781264,1.5692476092230794
label_gran_150,4.904136129395024,0.0029212170511048186,7.640911354066112,12.545047483461136,1.5697332096945977
label_gran_200,4.904469796395357,0.0015865490497706247,7.642246022067447,12.546715818462804,1.5698650817485926
label_gran_300,4.904469796395357,0.0015865490497706247,7.642246022067447,12.546715818462804,1.5698650817485926
instance_id,4.905470797396358,0.0,7.643832571117217,12.549303368513575,1.5699443312412484
